CUSIP,Ddate,RR,Year,IndX,csp_CIQ,CompanyName,FirmDefault,IndZ,IndY,Type,Seniority,IndustryNaics,Industry_SIC_short_old,UniqueIdent,DefType,EquityValue,DefaultBarrier2,LTDIssuance2,Intangibility,Receivables1,NetIncomeMargin,TotalAssets,NumberEmployees,AvgDailyVOL,AvgTransVol,TRADES,amihud_ILLIQ,amihud_ILLIQ_trades,price_dispersion,price_dispersion_volumeweighted,OfferingAmount,DaysToMaturity,BondAge,BOND_COUPON
049164AC0,31.01.04,39.1,2004,2030,CSP_049164AC0,"Atlas Air Worldwide Holdings, Inc.","38017Atlas Air Worldwide Holdings, Inc.",20301010,Industrials,Corporate Debentures,Senior Unsecured,Other Support Activities for Air Transportation (488190), TRANS,049164AC038017,C11Reorg,-28.282,0.688670698,0,0,0.148688047,-0.072988058,1400.607,0,98911000,82425.83333,0.75,0.006375142,0.257041686,0.021233736,0.019925575,150000,548,2278,10.75
049164AP1,31.01.04,38.26954125,2004,2030,CSP_049164AP1,"Atlas Air Worldwide Holdings, Inc.","38017Atlas Air Worldwide Holdings, Inc.",20301010,Industrials,Corporate Debentures,Senior Unsecured,Other Support Activities for Air Transportation (488190), TRANS,049164AP138017,C11Reorg,-28.282,0.688670698,0,0,0.148688047,-0.072988058,1400.607,0,123970555.6,223667.3788,1.9,0.088908009,0.144201274,0.055107934,0.040792434,175000,1536,1976,9.25
049164AT3,31.01.04,39.54166667,2004,2030,CSP_049164AT3,"Atlas Air Worldwide Holdings, Inc.","38017Atlas Air Worldwide Holdings, Inc.",20301010,Industrials,Corporate Debentures,Senior Unsecured,Other Support Activities for Air Transportation (488190), TRANS,049164AT338017,C11Reorg,-28.282,0.688670698,0,0,0.020841756,-0.072988058,1400.607,0,126073625,109876.3542,0.95,0.006440647,0.075679562,0.028860682,0.020511026,150000,1019,1807,9.375
37246RAC0,03.02.04,31.98302187,2004,1510,CSP_37246RAC0,CPS Performance Materials Corp.,38020CPS Performance Materials Corp.,15101050,Materials,Corporate Debentures,Senior Subordinate,Adhesive Manufacturing (325520), CHEMS,37246RAC038020,C11Reorg,-88.796,0.997887801,0.566234892,0.553747152,0.136490545,-0.731397188,162.39,0,359343333.3,79370.56636,5.5,0.002775996,0.009742742,0.051641915,0.04464206,120000,1641,1726,10.125
037857AA7,04.02.04,35.56048769,2004,2530,CSP_037857AA7,"Avado Brands, Inc.","38021Avado Brands, Inc.",25301040,Consumer Discretionary,Corporate Debentures,Senior Unsecured,0, MEALS,037857AA738021,C11Reorg,1.0765,0.871136001,0,0.009402644,0.136490545,-0.177923275,203.028,0,5137890.625,2302.529167,2.7,0.355015755,1.014504445,0.049938864,0.023316336,125000,848,2813,9.75
891707AE1,10.02.04,98.4985914,2004,2510,CSP_891707AE1,"Autokiniton US Holdings, Inc.","38027Autokiniton US Holdings, Inc.",25101010,Consumer Discretionary,Corporate Convertible,Senior Subordinate,Other Motor Vehicle Parts Manufacturing (336390), FABPR,891707AE138027,C11Reorg,413.51,0.299117063,0.75600789,0.166162698,0.230815252,-0.044277739,2846.409,12000,1190806878,479215.9707,25.5,0.039039248,0.059383297,0.007752142,0.005444971,200000,173,2259,5
761519AK3,13.02.04,103.7789179,2004,3030,CSP_761519AK3,"Revlon, Inc.","38030Revlon, Inc.",30302010,Consumer Staples,Corporate Debentures,Senior Unsecured,Toilet Preparation Manufacturing (325620),HSHLD,761519AK338030,RiskRating1,-1727.2,1.080891434,0.985243742,0.22229707,0.084394413,-0.11852536,890.7,6100,1311318952,295229.5538,37.05,0.084319967,0.380560653,0.020954551,0.016205403,250000,719,2142,8.125
761519AN7,13.02.04,89.99113322,2004,3030,CSP_761519AN7,"Revlon, Inc.","38030Revlon, Inc.",30302010,Consumer Staples,Corporate Debentures,Senior Subordinate,Toilet Preparation Manufacturing (325620),HSHLD,761519AN738030,DefRating1,-1727.2,1.080891434,0.985243742,0.22229707,#DIV/0!,-0.11852536,890.7,6100,2099138782,456466.0644,52.395,0.079479545,0.077532761,0.037058635,0.020786856,650000,1449,2142,8.625
761519AQ0,13.02.04,104.5211746,2004,3030,CSP_761519AQ0,"Revlon, Inc.","38030Revlon, Inc.",30302010,Consumer Staples,Corporate Debentures,Senior Unsecured,Toilet Preparation Manufacturing (325620),HSHLD,761519AQ038030,RiskRating1,-1727.2,1.080891434,0.985243742,0.22229707,#DIV/0!,-0.11852536,890.7,6100,2449017109,792117.5296,21.7,0.069976524,0.168927549,0.01612017,0.011200345,250000,992,1848,9
64928UAD0,15.02.04,15.91832083,2004,3020,CSP_64928UAD0,"Ebro Foods, S.A.","38032Ebro Foods, S.A.",30202030,Consumer Staples,Corporate Debentures,Senior Subordinate,Food Manufacturing (311),FOOD,64928UAD038032,C11Reorg,-5.57,0.386143922,0.996080453,0.149675954,#DIV/0!,-0.024675546,426.174,1300,204423325,285571.25,2.25,0.005304306,0.014894413,0.027901199,0.026800963,160000,1827,1657,9.25
677007BU9,23.02.04,38.02311001,2004,1510,CSP_677007BU9,Carmeuse Holding S.A.,38040Carmeuse Holding S.A.,15102010,Materials,Corporate Debentures,Senior Subordinate,Dimension Stone Mining and Quarrying (212311), MINES,677007BU938040,C11Reorg,88.004,0.648006943,0.003532145,0.11240461,#DIV/0!,-0.084870056,649.831,1804,151612932.7,149581.2678,4.5,0.014033546,0.32098251,0.012892555,0.00735025,100000,1805,1747,10
420877AD4,01.03.04,66.7142696,2004,1510,CSP_420877AD4,"Haynes International, Inc.","38047Haynes International, Inc.",15104050,Materials,Corporate Debentures,Senior Unsecured,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding (331491)", STEEL,420877AD438047,C11Reorg,-172.858,1.109732671,0.011218515,0,#DIV/0!,-0.361586266,180.115,898,1352897677,133176.1117,6.2,0.009769178,0.004810294,0.030133991,0.027897629,140000,184,2750,11.625
429810AC8,01.03.04,28.25,2004,2010,CSP_429810AC8,Letitia Corporation,38047Letitia Corporation,20104010,Industrials,Corporate Debentures,Senior Unsecured,Material Handling Equipment Manufacturing (33392), LABEQ,429810AC838047,C11Reorg,-63.895,0.361039128,0.889033036,0.088702942,#DIV/0!,-0.126978849,372.389,2591,5085000,1271.25,0.1,0.011986096,0.208986416,0.023696682,0.023676733,155000,167,2120,10.5
62472DAC4,15.03.04,95.6802,2004,3010,CSP_62472DAC4,"Mrs. Fields' Holding Company, Inc.","38061Mrs. Fields' Holding Company, Inc.",30101030,Consumer Staples,Corporate Debentures,Senior Unsecured,Baked Goods Stores (445291), RTAIL,62472DAC438061,Distressed_exchange1,-66.602,0.661682603,0.973482535,1.058706503,#DIV/0!,-0.033274347,111.589,3175,289881114.3,130375.1064,0.65,0.328375721,0.325806624,0.05249808,0.050993659,100000,261,2152,10.125
460933AB0,24.03.04,74.6625,2004,2010,CSP_460933AB0,"International Wire Group Holdings, Inc.","38070International Wire Group Holdings, Inc.",20104010,Industrials,Corporate Debentures,Senior Subordinate,Electric Lighting Equipment Manufacturing (3351), STEEL,460933AB038070,C11Reorg,-88.628,1.010459174,0.003507623,0.240656582,#DIV/0!,-0.17354528,392.335,0,338910400,280033.6667,0.8,0.001514157,0.001914634,0.009273251,0.00914788,150000,434,3099,11.75
460933AE4,24.03.04,72.61898148,2004,2010,CSP_460933AE4,"International Wire Group Holdings, Inc.","38070International Wire Group Holdings, Inc.",20104010,Industrials,Corporate Debentures,Senior Subordinate,Electric Lighting Equipment Manufacturing (3351), STEEL,460933AE438070,C11Reorg,-88.628,1.010459174,0.003507623,0.240656582,#DIV/0!,-0.17354528,392.335,0,483199444.4,352476.4063,2.45,0.002266777,0.011568409,0.009690123,0.007886566,150000,434,2324,11.75
306075AC6,29.03.04,81.75,2004,2020,CSP_306075AC6,"Commercial Furniture Group, Inc.","38075Commercial Furniture Group, Inc.",20201060,Industrials,Corporate Debentures,Senior Subordinate,Office Furniture (including Fixtures) Manufacturing (33721),HSHLD,306075AC638075,C11Reorg,36.8226,0.317560216,0.976418659,0.44073685,#DIV/0!,-0.136813846,266.54,2570,327000000,81750,0.1,0.001417234,0.001122334,0.010309278,0.00901965,100000,1904,1700,11.375
315646AB5,30.03.04,54.4891124,2004,1510,CSP_315646AB5,"Neenah, Inc.","38076Neenah, Inc.",15105020,Materials,Corporate Debentures,Senior Unsecured,Paper Bag and Coated and Treated Paper Manufacturing (32222), PAPER,315646AB538076,C11Reorg,7.20732,0.448417216,0.971713376,0.275046472,0.026019476,-0.298465599,399.707,1699,1010084241,812814.8556,10.35,0.046457243,0.011367277,0.009188455,0.006896463,230000,2572,964,10.75
847504AC1,30.03.04,54.70022748,2004,1510,CSP_847504AC1,"Neenah, Inc.","38076Neenah, Inc.",15105020,Materials,Corporate Debentures,Senior Unsecured,Paper Bag and Coated and Treated Paper Manufacturing (32222), PAPER,847504AC138076,C11Reorg,7.20732,0.448417216,0.971713376,0.275046472,0.026019476,-0.298465599,399.707,1699,692946147.7,527592.5689,4.6,0.079579969,0.075926489,0.01797049,0.01070156,100000,929,2604,9.375
235773AB4,31.03.04,26.05415863,2004,2520,CSP_235773AB4,"Dan River, Inc.","38077Dan River, Inc.",25203030,Consumer Discretionary,Corporate Debentures,Senior Unsecured,Cut and Sew Apparel Manufacturing (3152), TXTLS,235773AB438077,C11Reorg,79.485,0.605579398,0.021130459,0.212042103,0.026019476,-0.320512391,432.466,5100,381333831.4,273720.512,9.6,0.003694448,0.046145444,0.011147408,0.010386661,157000,1841,365,12.75
16117MAB3,02.04.04,96.51137932,2004,5020,CSP_16117MAB3,"Charter Communications, Inc.","38079Charter Communications, Inc.",50201030,Communication Services,Corporate Convertible,Senior Unsecured,Cable and Other Subscription Programming (515210), TELCM,16117MAB338079,C11Reorg,569,0.436411721,1,0.642529489,0.026019476,-0.072629176,21364,15500,1052543417,755766.2112,12.15,0.083229067,0.086911864,0.007916148,0.004408397,750000,561,1162,5.75
16117MAC1,02.04.04,92.666991,2004,5020,CSP_16117MAC1,"Charter Communications, Inc.","38079Charter Communications, Inc.",50201030,Communication Services,Corporate Convertible,Senior Unsecured,Cable and Other Subscription Programming (515210), TELCM,16117MAC138079,C11Reorg,569,0.436411721,1,0.642529489,0.10002165,-0.072629176,21364,15500,199821904.7,378993.6841,6.6,0.080433188,2.586572206,0.008876442,0.006010808,550000,790,1045,4.75
16117PAD2,02.04.04,95.9957766,2004,5010,CSP_16117PAD2,"Charter Communications, Inc.","38079Charter Communications, Inc.",50101010,Communication Services,Corporate Debentures,Senior Unsecured,Wired Telecommunications Carriers (517311), TELCM,16117PAD238079,C11Reorg,1358,0.423444297,1,0.649092113,0.087174572,-0.146295912,21148,15500,417553183.3,785582.5215,5.25,0.004217304,0.115484226,0.004513595,0.003346889,600000,1094,1675,8.25
16117PAE0,02.04.04,85.33305204,2004,5010,CSP_16117PAE0,"Charter Communications, Inc.","38079Charter Communications, Inc.",50101010,Communication Services,Corporate Debentures,Senior Unsecured,Wired Telecommunications Carriers (517311), TELCM,16117PAE038079,C11Reorg,1358,0.423444297,1,0.649092113,0.019659444,-0.146295912,21148,15500,1153806994,394228.8882,23.3,0.072439553,0.057534114,0.009591831,0.005787918,1500000,1825,1675,8.625
16117PAK6,02.04.04,88.36425136,2004,5010,CSP_16117PAK6,"Charter Communications, Inc.","38079Charter Communications, Inc.",50101010,Communication Services,Corporate Debentures,Senior Unsecured,Wired Telecommunications Carriers (517311), TELCM,16117PAK638079,C11Reorg,1358,0.423444297,1,0.649092113,0.190725531,-0.146295912,21148,15500,894471091.7,1073799.583,6.15,0.01792104,0.01685776,0.007996063,0.005078035,675000,1825,1439,10
16117PAL4,02.04.04,87.69823528,2004,5010,CSP_16117PAL4,"Charter Communications, Inc.","38079Charter Communications, Inc.",50101010,Communication Services,Corporate Debentures,Senior Unsecured,Wired Telecommunications Carriers (517311), TELCM,16117PAL438079,C11Reorg,1358,0.423444297,1,0.649092113,0.09510556,-0.146295912,21148,15500,444040755.1,990695.5046,2.9,0.000155381,0.033293784,0.002077601,0.002000613,325000,2114,1439,10.25
16117PAM2,02.04.04,83.29578546,2004,5010,CSP_16117PAM2,"Charter Communications, Inc.","38079Charter Communications, Inc.",50101010,Communication Services,Corporate Debentures,Senior Unsecured,Wired Telecommunications Carriers (517311), TELCM,16117PAM238079,C11Reorg,1358,0.423444297,1,0.649092113,0.093612188,-0.146295912,21148,15500,964348149,1194625.463,2.8,0.032262867,0.048357932,0.010732464,0.006285502,532300,2114,1439,11.75
16117PAT7,02.04.04,89.5715946,2004,5010,CSP_16117PAT7,"Charter Communications, Inc.","38079Charter Communications, Inc.",50101010,Communication Services,Corporate Debentures,Senior Unsecured,Wired Telecommunications Carriers (517311), TELCM,16117PAT738079,C11Reorg,1358,0.423444297,1,0.649092113,0.096842567,-0.146295912,21148,15500,849932052.9,1076158.555,5.85,0.008917399,0.062060626,0.004766819,0.003864363,900000,2008,1148,10.75
16117PAV2,02.04.04,90.12145828,2004,5010,CSP_16117PAV2,"Charter Communications, Inc.","38079Charter Communications, Inc.",50101010,Communication Services,Corporate Debentures,Senior Unsecured,Wired Telecommunications Carriers (517311), TELCM,16117PAV238079,C11Reorg,1358,0.423444297,1,0.649092113,0.072380157,-0.146295912,21148,15500,643984586.8,1172985,4.45,0.043665352,0.043735475,0.002994312,0.002408294,500000,2479,1148,11.125
16117PAW0,02.04.04,74.6692915,2004,5010,CSP_16117PAW0,"Charter Communications, Inc.","38079Charter Communications, Inc.",50101010,Communication Services,Corporate Debentures,Senior Unsecured,Wired Telecommunications Carriers (517311), TELCM,16117PAW038079,C11Reorg,1358,0.423444297,1,0.649092113,0.072380157,-0.146295912,21148,15500,1385537262,1695679.835,5.25,0.002675102,0.001018716,0.005294895,0.00449211,675000,2479,1148,13.5
16117PAZ3,02.04.04,87.061736,2004,5010,CSP_16117PAZ3,"Charter Communications, Inc.","38079Charter Communications, Inc.",50101010,Communication Services,Corporate Debentures,Senior Unsecured,Wired Telecommunications Carriers (517311), TELCM,16117PAZ338079,C11Reorg,1358,0.423444297,1,0.649092113,0.072380157,-0.146295912,21148,15500,720868115.4,1076105.009,5.8,0.034102492,0.079575463,0.005536457,0.003413215,350000,2053,975,9.625
16117PBB5,02.04.04,84.75502417,2004,5010,CSP_16117PBB5,"Charter Communications, Inc.","38079Charter Communications, Inc.",50101010,Communication Services,Corporate Debentures,Senior Unsecured,Wired Telecommunications Carriers (517311), TELCM,16117PBB538079,C11Reorg,1358,0.423444297,1,0.649092113,#DIV/0!,-0.146295912,21148,15500,578658088.2,895785.8977,4.95,0.005574098,0.003921149,0.003196949,0.003011337,575000,2599,975,10
16117PBD1,02.04.04,66.44994456,2004,5010,CSP_16117PBD1,"Charter Communications, Inc.","38079Charter Communications, Inc.",50101010,Communication Services,Corporate Debentures,Senior Unsecured,Wired Telecommunications Carriers (517311), TELCM,16117PBD138079,C11Reorg,1358,0.423444297,1,0.649092113,0.074322034,-0.146295912,21148,15500,698273720.6,1506228.792,4.15,0.000882336,0.003532025,0.004637053,0.004265141,1018000,2599,975,11.75
16117PBH2,02.04.04,63.00989583,2004,5010,CSP_16117PBH2,"Charter Communications, Inc.","38079Charter Communications, Inc.",50101010,Communication Services,Corporate Debentures,Senior Unsecured,Wired Telecommunications Carriers (517311), TELCM,16117PBH238079,C11Reorg,1358,0.423444297,1,0.649092113,0.077460741,-0.146295912,21148,15500,127784500,460609.0625,0.9,0.000435572,0.004489321,0.001899322,0.001856307,450000,2844,689,12.125
975377AE2,02.04.04,83.75,2004,2520,CSP_975377AE2,Brown Jordan Inc.,38079Brown Jordan Inc.,25201020,Consumer Discretionary,Corporate Debentures,Senior Subordinate,Furniture Stores (442110),HSHLD,975377AE238079,DefRating1,-37.689,0.524178413,0.853246226,0.446693776,0.077460741,-0.018106002,306.906,1460,293125000,73281.25,0.1,0.001176194,0.002037179,0.023474178,0.023454785,105000,1230,1596,12.75
207195AB4,05.04.04,67.41666667,2004,2010,CSP_207195AB4,Congoleum Corporation,38082Congoleum Corporation,20102010,Industrials,Corporate Debentures,Senior Unsecured,All Other Plastics Product Manufacturing (326199), RUBBR,207195AB438082,DefRating1,-25.777,0.341778521,0.906986046,0,0.019401276,-0.020882985,175.899,921,276806250,92986.45833,0.25,0.005435952,0.060968932,0.014847533,0.012156995,100000,1579,2012,8.625
36352KAC7,06.04.04,0.563333,2004,2520,CSP_36352KAC7,"Galey & Lord, LLC","38083Galey & Lord, LLC",25203030,Consumer Discretionary,Corporate Debentures,Senior Subordinate,Textile Product Mills (314), TXTLS,36352KAC738083,LiquidationC7,-212.306,0.80983478,0.502502143,0.200955011,0.019401276,-0.269401145,566.276,4790,4968597.06,2484.29853,0.05,0,0,0,0,300000,1425,2176,9.125
550060AA5,12.04.04,1.600757576,2004,4030,CSP_550060AA5,Lumbermens Mutual Casualty Company,38089Lumbermens Mutual Casualty Company,40301040,Financials,Corporate Debentures,Subordinate,Direct Property and Casualty Insurance Carriers (524126), INSUR,550060AA538089,C11Reorg,202.42597,0,#DIV/0!,0,0.019401276,2.991010178,5229.94164,0,63937,112.9583333,0.75,1.007792755,161.5117457,0.053367228,0.049996485,400000,8115,2861,9.15
550060AC1,12.04.04,1.47375,2004,4030,CSP_550060AC1,Lumbermens Mutual Casualty Company,38089Lumbermens Mutual Casualty Company,40301040,Financials,Corporate Debentures,Subordinate,Direct Property and Casualty Insurance Carriers (524126), INSUR,550060AC138089,C11Reorg,202.42597,0,#DIV/0!,0,0.019401276,2.991010178,5229.94164,0,63937,156.9,0.9,1.007792755,161.5117457,0.092372406,0.066870936,200000,12286,2337,8.3
030222AB9,22.04.04,1.62505,2004,1510,CSP_030222AB9,American Tissue Inc.,38099American Tissue Inc.,15105020,Materials,Corporate Debentures,Senior Secured,0, PAPER,030222AB938099,LiquidationC7,122.705,0.451395571,0.542319916,0,0.019401276,0.049141473,546.658,2692,471264.5,117.816125,0.1,1.007792755,1.632823307,0.02444463,0.024422732,165000,814,1536,12.5
749195AC7,26.04.04,59.81578947,2004,2550,CSP_749195AC7,"R.A.B. Enterprises, Inc.","38103R.A.B. Enterprises, Inc.",25501010,Consumer Discretionary,Corporate Debentures,Senior Unsecured,"Merchant Wholesalers, Nondurable Goods (424)", WHLSL,749195AC738103,Distressed_exchange1,-1.96,0.308348379,1,0.423023396,0.020880015,-0.005187216,212.688,1400,1045000000,27500,0.95,0.008093165,0.000536044,0.05273611,0.052721144,120000,370,1900,10.5
029309AL5,01.05.04,55.42978395,2004,2530,CSP_029309AL5,"American Restaurant Group, Inc.","38108American Restaurant Group, Inc.",25301040,Consumer Discretionary,Corporate Debentures,Senior Secured,Limited-Service Restaurants (722513), MEALS,029309AL538108,C11Reorg,-153.406,1.211817857,0.95538391,0.219782483,#DIV/0!,-0.11712819,72.822,6600,568069722.2,775376.6667,1.7,0.002228432,0.003767266,0.011408132,0.009778016,125808,914,828,11.5
119003AF8,03.05.04,16.67708333,2004,2030,CSP_119003AF8,Budget Group Inc.,38110Budget Group Inc.,20304020,Industrials,Corporate Debentures,Senior Unsecured,Automotive Equipment Rental and Leasing (5321), PERSV,119003AF838110,LiquidationC7,0.29804,0.590874157,0.601441393,0.177767113,#DIV/0!,-0.255963494,4469.505,11400,157175250,97944.26667,0.7,0.000685387,0.710288952,0.0105304,0.00991807,400000,698,1817,9.125
26822QAC7,05.05.04,1.75,2004,2520,CSP_26822QAC7,"SHC, Inc.","38112SHC, Inc.",25202010,Consumer Discretionary,Corporate Debentures,Senior Subordinate,0,TOYS,26822QAC738112,LiquidationC7,-450.5,2.290163977,0,0.384081929,0.278235608,-0.304314758,269.794,0,1750000,218.75,0.2,1.007792755,2.222222222,0.092372406,0.073717826,200000,879,2673,10.375
795757AB9,14.05.04,72.7476732,2004,2520,CSP_795757AB9,"Spectrum Brands Holdings, Inc.","38121Spectrum Brands Holdings, Inc.",25201040,Consumer Discretionary,Corporate Debentures,Senior Subordinate,Household Appliance Manufacturing (3352),HSHLD,795757AB938121,RiskRating1,38.65896,0.257708291,0.928579653,0.288147548,0.109501249,-0.06006651,812.372,2700,998427666.8,334732.0171,29.1,0.068428866,0.247916264,0.017523983,0.010597047,125000,580,1928,10.75
795757AD5,14.05.04,65.16074923,2004,2520,CSP_795757AD5,"Spectrum Brands Holdings, Inc.","38121Spectrum Brands Holdings, Inc.",25201040,Consumer Discretionary,Corporate Debentures,Senior Subordinate,Household Appliance Manufacturing (3352),HSHLD,795757AD538121,RiskRating1,38.65896,0.257708291,0.928579653,0.288147548,0.029453235,-0.06006651,812.372,2700,829891051.9,271541.0151,27.65,0.075193983,0.121090836,0.021598102,0.016067962,150000,1432,1029,12.25
70558AAA4,02.06.04,48.06499046,2004,5020,CSP_70558AAA4,"The Pegasus Companies, Incorporated","38140The Pegasus Companies, Incorporated",50201020,Communication Services,Corporate Debentures,Senior Unsecured,Cable and Other Subscription Programming (515210), TELCM,70558AAA438140,C11Reorg,123.431,0.393804007,0.997878091,0.862720949,0.029665995,-0.200738578,1813.882,990,924519516.6,595322.5418,14.2,1.007792755,0.032667856,0.092372406,0.036117338,195000,790,1129,12.375
70558AAB2,02.06.04,13.63595779,2004,5020,CSP_70558AAB2,"The Pegasus Companies, Incorporated","38140The Pegasus Companies, Incorporated",50201020,Communication Services,Corporate Debentures,Senior Subordinate,Cable and Other Subscription Programming (515210), TELCM,70558AAB238140,C11Reorg,123.431,0.393804007,0.997878091,0.862720949,0.029665995,-0.200738578,1813.882,990,171607041.7,121612.6725,6.65,0.015802281,0.201957725,0.012245838,0.008552227,193100,1002,1129,13.5
70558AAD8,02.06.04,48.94857909,2004,5020,CSP_70558AAD8,"The Pegasus Companies, Incorporated","38140The Pegasus Companies, Incorporated",50201020,Communication Services,Corporate Debentures,Senior Unsecured,Cable and Other Subscription Programming (515210), TELCM,70558AAD838140,C11Reorg,123.431,0.393804007,0.997878091,0.862720949,0.029665995,-0.200738578,1813.882,990,2449017109,835985.9792,50.9,0.001633986,0.005060266,0.033081999,0.032680164,175000,2053,901,11.25
705904AD2,02.06.04,48.00813492,2004,5010,CSP_705904AD2,"The Pegasus Companies, Incorporated","38140The Pegasus Companies, Incorporated",50101010,Communication Services,Corporate Debentures,Senior Unsecured,Wireless Telecommunications Carriers (except Satellite) (517312), TELCM,705904AD238140,C11Reorg,89.9083,0.341894025,0.997743846,0.861721316,0.029665995,#DIV/0!,2034.746,1012,258740446.4,289716.9261,3.95,0.014651659,0.029968676,0.017144118,0.012802051,115000,500,2330,9.625
705904AF7,02.06.04,50.24729736,2004,5010,CSP_705904AF7,"The Pegasus Companies, Incorporated","38140The Pegasus Companies, Incorporated",50101010,Communication Services,Corporate Debentures,Senior Unsecured,Wireless Telecommunications Carriers (except Satellite) (517312), TELCM,705904AF738140,C11Reorg,89.9083,0.341894025,0.997743846,0.861721316,0.029665995,#DIV/0!,2034.746,1012,812318178,614698.0815,3.9,0.015242833,0.005880594,0.038627231,0.034766016,100000,912,1892,9.75
